常看 多源综合v26.1.31,#genre#
任城1,http://192.168.2.88:8888/udp/239.253.244.242:8000
任城2,http://192.168.2.88:8888/udp/239.253.244.243:8000
兖州新闻高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001051/index.m3u8
梁山新闻综合高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001075/index.m3u8
曲阜新闻综合 7M1080,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001052/index.m3u8
邹城新闻综合高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001038/index.m3u8
嘉祥新闻综合 5M1080,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001016/index.m3u8
微山高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001078/index.m3u8
泗水新闻综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001081/index.m3u8
卫视,#genre#
湖南卫视,http://192.168.2.88:8888/udp/239.253.244.82:8000
湖南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000324/index.m3u8
湖南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000017/index.m3u8
浙江卫视,http://192.168.2.88:8888/udp/239.253.244.84:8000
浙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000305/index.m3u8
浙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000016/index.m3u8
东方卫视,http://192.168.2.88:8888/udp/239.253.244.86:8000
东方卫视,http://192.168.3.55:3566/651632648
东方卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000309/index.m3u8
东方卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000022/index.m3u8
江苏卫视,http://192.168.2.88:8888/udp/239.253.244.83:8000
江苏卫视,http://192.168.3.55:3566/623899368
江苏卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000304/index.m3u8
江苏卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000018/index.m3u8
北京卫视,http://192.168.2.88:8888/udp/239.253.244.85:8000
北京卫视,http://192.168.3.55:3566/630287636
北京卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000302/index.m3u8
北京卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000019/index.m3u8
安徽卫视,http://192.168.2.88:8888/udp/239.253.244.87:8000
安徽卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000328/index.m3u8
安徽卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000020/index.m3u8
天津卫视,http://192.168.2.88:8888/udp/239.253.244.89:8000
天津卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000327/index.m3u8
天津卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000021/index.m3u8
辽宁卫视,http://192.168.2.88:8888/udp/239.253.244.92:8000
辽宁卫视,http://192.168.3.55:3566/630291707
辽宁卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000326/index.m3u8
深圳卫视,http://192.168.2.88:8888/udp/239.253.244.91:8000
深圳卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000308/index.m3u8
深圳卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000024/index.m3u8
东南卫视,http://192.168.2.88:8888/udp/239.253.244.105:8000
东南卫视,http://192.168.3.55:3566/849116810
东南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000310/index.m3u8
东南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000028/index.m3u8
湖北卫视,http://192.168.2.88:8888/udp/239.253.244.88:8000
湖北卫视,http://192.168.3.55:3566/947472496
湖北卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000325/index.m3u8
广东卫视,http://192.168.2.88:8888/udp/239.253.244.90:8000
广东卫视,http://192.168.3.55:3566/608831231
广东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000307/index.m3u8
广东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000025/index.m3u8
黑龙江卫视,http://192.168.2.88:8888/udp/239.253.244.93:8000
黑龙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000306/index.m3u8
黑龙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000027/index.m3u8
贵州卫视,http://192.168.2.88:8888/udp/239.253.244.113:8000
贵州卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000329/index.m3u8
贵州卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000041/index.m3u8
河北卫视,http://192.168.2.88:8888/udp/239.253.244.112:8000
河北卫视,http://192.168.3.55:3566/962042070
河北卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000330/index.m3u8
重庆卫视,http://192.168.2.88:8888/udp/239.253.244.38:8000
重庆卫视,http://192.168.3.55:3566/738910914
重庆卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000341/index.m3u8
重庆卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000023/index.m3u8
海南卫视,http://192.168.2.88:8888/udp/239.253.244.35:8000
海南卫视,http://192.168.3.55:3566/947472502
海南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000347/index.m3u8
海南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000030/index.m3u8
四川卫视,http://192.168.2.88:8888/udp/239.253.244.50:8000
四川卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000348/index.m3u8
四川卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000033/index.m3u8
山西卫视,http://192.168.2.88:8888/udp/239.253.244.48:8000
